holiday,temp,rain_1h,snow_1h,clouds_all,weather_description,date_time,traffic_volume,hour,day_of_week,is_weekend,hour_sin,hour_cos,adverse_weather,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,temp_scaled,traffic_volume_scaled,congestion_category
None,288.28,0.0,0.0,40,scattered clouds,2012-10-02 09:00:00,5545,9,Tuesday,0,0.7071067811865476,-0.7071067811865475,0,0,1,0,0,0,0,0,0,0,0,0,0.673215356928614,0.7616758241758241,High
None,289.36,0.0,0.0,75,broken clouds,2012-10-02 10:00:00,4516,10,Tuesday,0,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,0,0.689412117576485,0.6203296703296703,Medium
None,289.58,0.0,0.0,90,overcast clouds,2012-10-02 11:00:00,4767,11,Tuesday,0,0.258819045102521,-0.9659258262890682,0,0,1,0,0,0,0,0,0,0,0,0,0.6927114577084582,0.6548076923076923,Medium
None,290.13,0.0,0.0,90,overcast clouds,2012-10-02 12:00:00,5026,12,Tuesday,0,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0.7009598080383924,0.6903846153846154,High
None,291.14,0.0,0.0,75,broken clouds,2012-10-02 13:00:00,4918,13,Tuesday,0,-0.2588190451025208,-0.9659258262890683,0,0,1,0,0,0,0,0,0,0,0,0,0.7161067786442711,0.6755494505494506,Medium
None,291.72,0.0,0.0,1,sky is clear,2012-10-02 14:00:00,5181,14,Tuesday,0,-0.4999999999999997,-0.8660254037844388,0,1,0,0,0,0,0,0,0,0,0,0,0.724805038992202,0.7116758241758242,High
None,293.17,0.0,0.0,1,sky is clear,2012-10-02 15:00:00,5584,15,Tuesday,0,-0.7071067811865471,-0.7071067811865479,0,1,0,0,0,0,0,0,0,0,0,0,0.746550689862028,0.7670329670329671,High
None,293.86,0.0,0.0,1,sky is clear,2012-10-02 16:00:00,6015,16,Tuesday,0,-0.8660254037844385,-0.5000000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0.7568986202759451,0.8262362637362637,High
None,294.14,0.0,0.0,20,few clouds,2012-10-02 17:00:00,5791,17,Tuesday,0,-0.9659258262890683,-0.25881904510252063,0,0,1,0,0,0,0,0,0,0,0,0,0.7610977804439112,0.7954670329670329,High
None,293.1,0.0,0.0,20,few clouds,2012-10-02 18:00:00,4770,18,Tuesday,0,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,0,0,0,0.7455008998200364,0.6552197802197802,Medium
None,290.97,0.0,0.0,20,few clouds,2012-10-02 19:00:00,3539,19,Tuesday,0,-0.9659258262890684,0.2588190451025203,0,0,1,0,0,0,0,0,0,0,0,0,0.7135572885422921,0.4861263736263736,Medium
None,289.38,0.0,0.0,1,sky is clear,2012-10-02 20:00:00,2784,20,Tuesday,0,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,0,0,0,0,0,0.6897120575884824,0.3824175824175824,Medium
None,288.61,0.0,0.0,1,sky is clear,2012-10-02 21:00:00,2361,21,Tuesday,0,-0.7071067811865477,0.7071067811865474,0,1,0,0,0,0,0,0,0,0,0,0,0.678164367126575,0.3243131868131868,Medium
None,287.16,0.0,0.0,1,sky is clear,2012-10-02 22:00:00,1529,22,Tuesday,0,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,0,0,0,0,0,0,0,0.6564187162567492,0.21002747252747253,Medium
None,285.45,0.0,0.0,1,sky is clear,2012-10-02 23:00:00,963,23,Tuesday,0,-0.25881904510252157,0.9659258262890681,0,1,0,0,0,0,0,0,0,0,0,0,0.6307738452309538,0.13228021978021978,Low
None,284.63,0.0,0.0,1,sky is clear,2012-10-03 00:00:00,506,0,Wednesday,0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0.6184763047390522,0.06950549450549451,Low
